pl_name,hostname,sy_dist,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_rvamp,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccen_reflink,st_mass,st_lum,discoverymethod,st_lum_solar
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,5910.0,,4.27,346.43296363,13.7,,,,,0,,0.69,,Microlensing,
OGLE-2018-BLG-1647L b,OGLE-2018-BLG-1647L,7880.0,,1.36,308.29355479,13.8,,,,,0,,0.092,,Microlensing,
Kepler-853 b,Kepler-853,568.676,7.16892463,0.079,3.5,1.69,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.3,0.51032,Transit,3.2383217741083237
Kepler-883 b,Kepler-883,627.455,12.98495573,0.10288,3.82,1.78,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.06,0.29567,Transit,1.9754680042239736
HD 28185 b,HD 28185,39.3809,385.92,1.034,1859.29618095,12.8,164.8,0.063,0.004,-0.004,0,<a refstr=VENNER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535...90V/abstract target=ref>Venner et al. 2024</a>,0.974,-0.01323,Radial Velocity,0.9699961265109994
Kepler-54 b,Kepler-54,271.701,8.0109434,0.0619,0.98,2.1,,0.022,0.02,-0.015,0,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,0.51,-1.30103,Transit,0.0499999995007974
Kepler-1631 b,Kepler-1631,1305.99,4.09513932,0.0511,2.39,1.35,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.97,0.00722,Transit,1.0167636230834691
Kepler-155 b,Kepler-155,293.499,5.931194,0.056,5.02,2.09,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.635,-1.21,Transit,0.06165950018614822
Kepler-100 c,Kepler-100,304.645,12.8159,0.11061,7.05,2.2,1.02819,0.02,0.15,-0.01,0,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,1.08,0.39445,Transit,2.479990401810008
K2-377 b,K2-377,195.149,12.832235,,3.51,1.693,,,,,0,,0.821,-0.81809,Transit,0.15202324552737184
KMT-2018-BLG-1743L b,KMT-2018-BLG-1743L,6483.0,,1.449,77.86795971,10.5,,,,,0,,0.193,,Microlensing,
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,860.0,,1.18,4.43,1.94,,,,,0,,0.234,,Microlensing,
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,5910.0,,1.85,368.68095212,13.7,,,,,0,,0.34,,Microlensing,
Kepler-877 b,Kepler-877,602.176,18.45847097,0.1301,5.14,2.12,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.85,-0.343,Transit,0.45394161665020316
Kepler-1730 b,Kepler-1730,1427.08,13.81019974,0.1131,18.4,4.48524519,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.009,0.07455,Transit,1.1872713828447847
Kepler-1639 b,Kepler-1639,1031.31,9.878482,0.0932,7.18,2.58,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.12,0.14514,Transit,1.396818569593231
Kepler-559 b,Kepler-559,776.708,17.58752333,0.1277,12.7,3.61,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.96,-0.12141,Transit,0.7561187365999702
Kepler-121 b,Kepler-121,510.523,3.177422,0.039,6.08,2.34,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.859,-0.47396,Transit,0.3357685382440642
Kepler-55 d,Kepler-55,578.796,2.211099,0.029,3.15,1.59,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.631,-0.76324,Transit,0.17248844222031817
Kepler-82 c,Kepler-82,904.326,51.54,0.2626,13.9,5.34,,0.007,0.0016,-0.0018,0,<a refstr=FREUDENTHAL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A.108F/abstract target=ref>Freudenthal et al. 2019</a>,0.91,-0.18507,Transit,0.6530252889237527
Kepler-561 c,Kepler-561,621.378,5.350161983,0.05947,7.65,2.68,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.96,-0.17974,Transit,0.6610891051801883
Kepler-172 c,Kepler-172,828.592,6.388996,0.068,8.55,2.86,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.081,-0.03187,Transit,0.9292445015427806
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,4705.0,,3.913,3.269,1.62,,,,,0,,0.396,,Microlensing,
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,6980.0,,1.23,162.09248757,14.2,,,,,0,,0.27,,Microlensing,
OGLE-2019-BLG-0679L b,OGLE-2019-BLG-0679L,5630.0,,6.99,1061.54687938,13.1,,,,,0,,0.66,,Microlensing,
Kepler-867 b,Kepler-867,1195.54,150.242127,0.5375,19.4,4.64,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.92,0.11686,Transit,1.308759960626172
Kepler-187 c,Kepler-187,1143.0,10.640263,0.099,7.61,2.67,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.081,0.49267,Transit,3.1093527879498155
Kepler-250 c,Kepler-250,760.585,7.156804,0.069,5.82,2.28,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.806,-0.45709,Transit,0.3490679696993285
Kepler-540 b,Kepler-540,390.374,172.7049784,0.58822,7.8,2.71,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.02,0.20658,Transit,1.609088755693128
Kepler-1388 d,Kepler-1388,453.795,20.9568158,0.126,8.55,2.86,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.63,-1.1068,Transit,0.07819878403894966
Kepler-1534 b,Kepler-1534,1107.0,5.71668872,0.0599,4.23,1.89,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.9,-0.233,Transit,0.5847900841444807
PSR B1257+12 c,PSR B1257+12,600.0,66.5419,0.36,4.3,1.91,,0.0186,0.0002,-0.0002,0,<a refstr=KONACKI_AND_WOLSZCZAN_2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...591L.147K/abstract target=ref> Konacki and Wolszczan 2003 </a>,1.4,,Pulsar Timing,
Kepler-215 b,Kepler-215,485.997,9.360672,0.084,3.26,1.62,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.788,-0.1172,Transit,0.7634841051830965
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,5915.0,,2.424,127.0,14.0,,,,,0,,0.248,,Microlensing,
OGLE-2017-BLG-1140L b,OGLE-2017-BLG-1140L,,,1.02,505.0,13.5,,,,,0,,0.211,,Microlensing,
KMT-2021-BLG-1547L b,KMT-2021-BLG-1547L,5070.0,,4.5,467.20775829,13.6,,,,,0,,0.72,,Microlensing,
MOA-2020-BLG-208L b,MOA-2020-BLG-208L,7490.0,,2.74,46.0,7.71,,,,,0,,0.43,,Microlensing,
