pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_bmasse,st_mass,pl_orbeccen,expected_eccentricity,eccentricity_for_analysis
Kepler-1954 b,Kepler-1954,Transit,5.88346916,0.0625,,0.935,0.0,0.07333412199374569,0.07333412199374569
Kepler-198 c,Kepler-198,Transit,49.567416,0.259,,,,0.09899486621966769,0.09899486621966769
Kepler-81 c,Kepler-81,Transit,12.03987488,,,0.71,,0.07278301967855687,0.07278301967855687
Kepler-1718 b,Kepler-1718,Transit,135.1878234,0.4756,,0.784,0.0,0.1116014244136391,0.1116014244136391
Kepler-167 d,Kepler-167,Transit,21.8035324861,,,0.783,,0.0814390453257464,0.0814390453257464
Kepler-1265 b,Kepler-1265,Transit,6.49441289,0.0612,,0.724,0.0,0.07330696962890233,0.07330696962890233
Kepler-376 b,Kepler-376,Transit,4.92031217,0.0557,,0.95,0.0,0.0715923787756274,0.0715923787756274
Kepler-1720 b,Kepler-1720,Transit,12.70633322,,,0.92,,0.07491911108310831,0.07491911108310831
Kepler-1817 b,Kepler-1817,Transit,44.2994477,0.2277,,0.801,0.0,0.09609274868138326,0.09609274868138326
HD 168746 b,HD 168746,Radial Velocity,6.404,0.0659,78.819,0.93,0.107,0.09167083703512069,0.107
Kepler-349 b,Kepler-349,Transit,5.9297458058,,,1.01,,0.06586210137292992,0.06586210137292992
Kepler-250 b,Kepler-250,Transit,4.1480865119,,,0.83,,0.06085900770690708,0.06085900770690708
Kepler-368 c,Kepler-368,Transit,72.379334,0.36,,,,0.10376375223995793,0.10376375223995793
Kepler-1290 b,Kepler-1290,Transit,4.69500134,,,0.95,,0.06286920505672042,0.06286920505672042
Kepler-169 c,Kepler-169,Transit,6.19543693,0.06193,,0.825,,0.07335935940552658,0.07335935940552658
POTS-1 b,POTS-1,Transit,3.1606296,0.03734,734.16,0.695,,0.07202905463942427,0.07202905463942427
Kepler-1362 b,Kepler-1362,Transit,136.205639287,,,0.74,,0.11142672759154089,0.11142672759154089
Kepler-238 f,Kepler-238,Transit,50.4473156,,,1.06,,0.09641684494759634,0.09641684494759634
Kepler-1103 b,Kepler-1103,Transit,19.79191978,0.1475,,1.085,0.0,0.08748570216590201,0.08748570216590201
Kepler-938 b,Kepler-938,Transit,52.6298417,0.2663,,0.908,0.0,0.09904493134760284,0.09904493134760284
Kepler-342 d,Kepler-342,Transit,39.45718702,,,1.16,,0.09300159384650157,0.09300159384650157
Kepler-1355 b,Kepler-1355,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-1725 b,Kepler-1725,Transit,16.71987223,0.1334,,1.132,0.0,0.08568682808919,0.08568682808919
Kepler-99 b,Kepler-99,Transit,4.603578042,0.0492,,0.748,0.0,0.06998617609724185,0.06998617609724185
Kepler-312 c,Kepler-312,Transit,19.74732846,0.1521,,1.202,0.0,0.08796125799896144,0.08796125799896144
Kepler-251 d,Kepler-251,Transit,30.1328857684,,,0.97,,0.08757230358136034,0.08757230358136034
Kepler-215 d,Kepler-215,Transit,30.864,,23.6,0.81,,0.0649028099343726,0.0649028099343726
Kepler-80 e,Kepler-80,Transit,4.6453954,,0.879387,0.725,,0.03141511256834265,0.03141511256834265
Kepler-325 b,Kepler-325,Transit,4.544457232,,,0.99,,0.06269731990636837,0.06269731990636837
Kepler-1779 b,Kepler-1779,Transit,16.34356447,0.1218,,0.902,0.0,0.08435670167609775,0.08435670167609775
Kepler-575 b,Kepler-575,Transit,9.3789167,0.0788,,0.741,0.0,0.07726081749901277,0.07726081749901277
Kepler-504 b,Kepler-504,Transit,9.549277089,,,0.412143,,0.06704349378260452,0.06704349378260452
Kepler-1411 b,Kepler-1411,Transit,86.1150888,,,0.95,,0.10489328172279826,0.10489328172279826
